act	v.表演：举动：起作用 n.行为，法令：一幕
swing	v.摇摆，摇荡，回转，旋转 n.秋千：摇摆，摆动
sword	n.剑，刀：武力
table	n.桌子；餐桌；工作台；表格 vt.搁置：提交讨论
taste	v.品尝：（of）有···味道；体验 n.滋味；味觉
teach	vt.教，讲授：教导（训）vi.讲课，当教师
tease	v.戏弄，取笑；挑逗n.（爱）戏弄他人者：戏弄
tempo	n.节奏，行进速度；（音乐的）速度
tempt	v.诱惑，引诱；吸引，使感兴趣
tense	n.时态 v.拉紧，（使）紧张 a.绷紧的，紧张的
thank	vt.感谢 int.［-s］谢谢n.［pl.］感谢（意）
theft	n.偷窃（行为），偷窃罪
their	pron..［they的所有格］他（她、它）们的
theme	n.题目，主题：主旋律，基调
there	ad.在那儿：往那儿：［作引导词表示“存在”］
these	pron.＆a.［this的复数］这些：这些人（东西）
thick	a.厚的，粗的，稠的，浓的ad.厚，浓，密
thief	n.（thieves）贼：小偷
thigh	n.大腿：股骨
thing	n.物，东西：事，事情：所有物：局面，情况
think	v.想，思索：认为，以为：想要：料想，预料
third	num.第三（个），三分之一（的）
thorn	n.刺，荆棘
those	pron.／a.［that的复数］那些：那些人（东西）
three	num.三 pron.／a.三（个，只...）
throw	vt.扔：使突然陷入：使困惑n.投掷（距离）
thumb	n.拇指v.示意要求搭车：迅速翻阅
tiger	n.虎：老虎
tight	a.紧的：紧身的，装紧的：密封的 ad.紧紧地
timid	a.胆怯的，怯懦的
tired	a.疲劳的：厌倦的
title	n.书名，标题：头衔，称号
toast	n.烤面包，吐司：祝酒（词）v.烘，烤：（向···）祝酒
today	ad.在今天：现今，在当代n.今天：现在
token	n.表示；标志：记号：代用硬币 a.象征性的
tooth	n.（pl.teeth）牙齿：齿状物；
topic	n.话题，主题，题目
torch	n.手电筒；火炬，火把
total	n.总数，合计a.总的，全部的v.合计，总数达
touch	v.触，碰，摸；感动；涉及n.触动，碰到：少许
tough	a.坚韧的，棘手的：强健的，吃苦耐劳的；粗暴的
towel	n.毛巾 vt.用毛巾擦或擦干
tower	n.塔v.高耸
toxic	a.有毒的：中毒的
trace	n.痕迹，踪迹；极少量v.描绘；跟踪，追踪
track	n.跑道，小路：轨迹，轮迹v.跟踪，追踪
trade	n.贸易，商业；职业，行业v.经商，交易
trail	n.踪迹，痕迹；小路 v.追踪，跟踪；拖，拖曳：
train	n.列车：行列，系列，一串 v.训练，培养
trait	n.特征，特点，特性
tramp	n.／v 步行：沉重的脚步声（走）v.践踏n.流浪者
trash	n.垃圾：拙劣的作品：渣滓，败类
treat	v.对待；治疗；论述：款待，请客n.款待，请客
trend	n.倾向，趋势 vi.伸向，倾向
trial	n.讯问，审讯：试验；试用；尝试
tribe	n.种族，部落；（植物，动物）族，类
trick	n.诡计，骗局：恶作剧；窍门 vt.欺骗，哄骗
troop	n.（pl.）部队，军队：（一）群／队v.群集，集合
truck	n.卡车，载重汽车
trunk	n.大衣箱，皮箱：（汽车后部）行李箱；树干，躯干
trust	vt.信任：盼望；委托n.（in）信任，依赖；委托
truth	n.真实，真相：真实性；真理
tutor	n.导师：家庭教师 v.辅导：当导师；当家庭教师
twice	ad.两次，两倍
twist	v.捻；拧：扭曲；蜿蜒曲折而行 n.拧：歪曲；曲折
uncle	n.伯父，叔父，舅父，姑父，姨父
under	prep.在···下面：在···以下 ad.在下面：少于
unify	v.使联合，统一：使相同，使一致
union	n.联合，团结：联盟，联邦；协会，社团；和谐
unite	vi.联合，团结；统一，合并vt.使联合
unity	n.团结：统一，一致，整体
until	conj.＆prep.直到···为止，在···以前：直到···
upper	a.上面的；上部的，较高的
upset	v.使···心烦意乱；打翻，推翻a.难过的；不安的
urban	a.城市的，市内的
usage	n.使用，用法：习惯，习俗：惯用法
usual	a.通常的，平常的
utter	v.说.发出（声音）a.彻底的，完全的
vague	a.不明确的，含糊的，暧昧的
valid	a.有效的；有根据的：正当的
value	n.价格：价值：实用性 v.评价，估价：尊重
valve	n.阀：（英）电子管，真空管；（心脏的）瓣膜
verge	n.边，边缘v.濒临
verse	n.韵文，诗；诗节，诗句
video	n.电视，视频；录像a.电视的，视频的：录像的
virus	n.病毒；（精神，道德方面的）有害影响
visit	n.访问，参观v.访问，参观；视察；降临：闲谈
vital	a.生死攸关的，重大的；生命的，生机的
vivid	a.鲜艳的：生动的，栩栩如生的
vocal	a.声音的；有声的：歌唱的n.元音：声乐作品
voice	n.声音；噪音；发音能力；意见，发言权：语态
vowel	n.元音，元音字母
wagon	n.运货马车，运货车：敞蓬车厢
waist	n.腰，腰部
waken	v.醒，弄醒，唤醒
waste	v.浪费 a.无用的：荒芜的n.浪费；废物
watch	v.观看：看守：（for）窥伺，等待 n.看管；表
watch	v.观看：注视；看守：警戒n.注视；手表；守护
water	n.水vt.浇灌：给···饮水 vi.流泪，加水
weary	a.疲倦的；令人厌烦的v.使疲倦，使厌倦
weave	v.编（织）n.编织法，编织式样
wedge	n.楔，楔形vt.楔牢，楔入，挤进
weigh	v.称···重量，称；重达；考虑，权衡
weird	a.古怪的，离奇的：怪诞的，神秘而可怕的
whale	n.鲸：庞然大物
wheat	n.小麦
wheel	n.轮，车轮
where	ad.在哪／那里 conj.／pron.哪里 conj.然而
which	a.／pron.哪个，哪些：什么样的；那个，那些
while	conj.当···的时候：而：虽然：尽管n.一会儿
whirl	v.（使）旋转，打转 n.旋转；-连串快速的活动
white	a.白色的；苍白的：白种的n.白色：白种人
whole	n.全部a.全体的：全部的：完整的：无缺的
whose	pron.谁的：哪（个）人的，那些（人）的
widow	n.寡妇
width	n.宽度；宽阔，广阔
witch	n.女巫，巫婆，巫师
woman	n.（pl.）women 妇女，成年女子
world	n.世界，地球：···界，领域：世间：全世界
worry	v.烦恼：（about）对··感到烦恼 n.烦恼，焦虑
worse	a.／ad.更坏，更差（的／地）
worst	a.／ad.最坏（的），最差（的）
worth	n.价值a.值···的，价值···的，值得···的
would	aux.／v.将：可能：将会；总是，总会；宁愿
wound	n.创伤，伤口v.伤，伤害
wreck	n.失事船（或飞机）v.（船等）失事，遇难；破坏
wrist	n.腕，腕关节
write	v.写，书写，写字：写作：写信（给），函告
wrong	a.错的ad.错误地，不正确地n.错误v.委屈
X-ray	n.X射线.X光
yield	v.出产，生长；（to）屈服，服从n.产量，收获
young	a.年轻的，幼小的：没经验的n.青年人
yours	pron.［you的物主代词］你（们）的（所有物）
youth	n.青年；年轻人
zebra	n.斑马
aboard	ad.＆prep.在船（飞机、车）上：ad.上船（飞机）
abound	vi.大量存在；（in，with）充满，富于
abroad	ad.到国外，在国外：在传播，在流传
abrupt	a.突然的，出其不意的；（行为等）粗鲁无礼的
absent	a.缺席的；缺乏的，不存在的；心不在焉的
absorb	vt.吸收（水、光、蒸汽等）；使全神贯注
absurd	a.荒谬的，荒诞的，荒唐可笑的：不合理的
accent	n.口音，腔调：重音（符号）vt.重读
accept	vt.接受，领受；认可，同意vi.同意，认可
access	n.进入；接入；到达；享用权：入口 vi.存取
accord	vt.给予（欢迎、称颂等）vi.＆n.符合，一致
accuse	vt.控告，指责 vi.指控，指责
across	prep.横过，越过；在的对面ad.横过，穿过
action	n.行动，动作；作用；运转：行为；战斗
active	adj.活跃的，敏捷的，积极的；在活动中的
actual	a.实际的：现实的，真实的，目前的
addict	v.使沉溺：使上瘾n.沉溺于不良嗜好的人
adhere	vi.（to）粘着：坚持，遵守：依附，追随
adjoin	v.临近，靠近：贴近，毗连
adjust	vt.调节：整顿，调整vi.适应（to）：使调节
admire	vt.钦佩，赞赏，羡慕；称赞，夸奖
advent	n.（重要事件等的）到来，来临
adverb	n.副词 a.副词的
advice	n.劝告，忠告，（医生等的）意见
advise	vt.忠告，劝告，建议；通知，告知
aerial	a.（在或来自）空中的，航空的n.天线
affair	n.［pl.］事务：事情（件）：（个人的）事
affect	vt.影响：（疾病）侵袭：感动 n.情感，感情
affirm	vt.断言，坚持声称；肯定：证实，确认：
afford	vt.担负得起（损失、费用、后果等），买得起
afraid	adj.害怕的，恐惧的；犯愁的，不乐意的
agency	n.代理（处）：代办处：［美］（政府的）机关，厅
agenda	n.议事日程，记事册
allege	v.断言，宣称：指控
almost	adv.几乎，差不多
always	ad.总是，无例外地；永远，始终
amount	n.总数，数量；数额v.共计；等同，接近（to）
anchor	n.／v.锚；危难时可依靠的人或物；用锚泊船
animal	n.动物，野兽，牲畜 a.动物的，野兽的
annual	a.每年的，一年生的n.年刊；一年生植物
answer	vt.回答，答复，答案v.回答，答复，响应
anyhow	ad.不管怎么说，无论如何：不论用何种方法
anyone	pron.（用于疑问句，否定式）任何人
anyway	ad.不管怎么说，无论如何；不论以何种方式
appeal	vi.呼吁，恳求：申诉n.呼吁；申诉；吸引力
appear	vi.出现：出场；问世：仿佛；出版，发表
around	ad.在...周围，到处 prep.在..四周（或附近）
arouse	vt.唤醒，叫醒：唤起，激起
arrest	n.逮捕，扣留vt.逮捕，扣留；阻止；吸引
arrive	vi.到达：（时间、事件）到来，发生：达到
artery	n.动脉；干线，要道
artist	n.艺术家，美术家：（某方面的）能手
ascend	vi.渐渐上升，升高vt.攀登，登上
ashore	ad.上岸；在岸上，向岸上
asleep	a.睡觉，睡着（用作表语）
aspect	n.样子，外表，面貌，（问题等的）方面
aspire	vi.（to，after）渴望，追求，有志于
assert	vt.断言，宣称：坚持；主张（权利、权威等）
assess	vt.（为征税）评估（财产、收入）：征税：评价
assign	vt.派给，分配：选定，指定（时间、地点等）
assist	vt.协助，帮助，促进vi.帮忙，参加
assume	vt.假装；假定，设想：承担；呈现，采取
assure	vt.使确信,使放心(of):向···保证
attach	v.系，贴，装，连接：使成为一部分：使依恋
attack	v.／n.攻击，抨击：着手，开始n.（病）发作
attain	vt.达到；完成；获得vi.达到
attend	vt.出席，参加：照顾，护理vi.注意：侍奉
August	n．月
author	n.作者，作家，著作人：创始人，发起人
autumn	n.秋，秋季；成熟期，渐衰期
avenue	n.林荫路，大街：（比喻）途径，渠道，方法
ballet	n.芭蕾舞，芭蕾舞剧：芭蕾舞团
ballot	n.（不记名）投票：投票总数；投票权 vi.投票
banana	n.香蕉
banner	n.旗（帜）
barber	n.理发师
barely	ad.赤裸裸地，无遮蔽地；仅仅，勉强，几乎没有
barrel	n.桶；枪管，炮管
barren	a.贫瘠的；不育的：（植物）不结果的；无用的
basket	n.筐，篮，篓
battle	n.战役，战斗；斗争v.战斗，斗争，搏斗
beauty	n.美，美丽：美人，美丽的事物
become	vi.变成，开始变得vt.适合，同···相称
before	prep.（指时间）在···以前，在..前面，在..之前
behalf	n.利益
behave	v.举止，举动，表现；运转，开动
behind	prep.在...的背后，（遗留）在..后面；落后于
belief	n.信任，相信，信念；信仰，信条
belong	v.（to）属于，附属，隶属；应归入（类别，范畴等）
benign	a.（病）良性的，（气候）良好的，仁慈的，和蔼的
beside	prep.在...旁边，在...附近：和...相比
betray	v.背叛，出卖；暴露，流露，泄露
better	a.较好的ad.更好（地）v.改良 n.较佳者
beware	v.当心，谨防
beyond	prep.在（或向）...的那边，远于：超出；
bitter	a.（有）苦（味）的；痛苦的，厉害的
bloody	a.流血的，血腥的
blouse	n.女衬衣，短上衣，宽阔的罩衫
border	n.边界，国界；边（沿）v.交界，与···接壤；接近
borrow	vt.借，借入：（思想、文字等）采用，抄袭
bother	vt.打扰，麻烦vi.担心，烦恼n.烦恼，焦急
bottle	n.瓶（子）v.装瓶
bottom	n.底（部）；基础，根基；海底，湖底，河床
bounce	n.／vi.（球）弹起，弹回；弹起，跳起：n.弹力
branch	n.（树）条，分支；分店；（学科）分科，部门；支流
brandy	n.白兰地酒
breach	n.违反，不履行：破裂 vt.冲破，攻破
breast	n.胸膛，乳房
breath	n.呼吸，气息
breeze	n.微风；轻而易举的事vi.来去匆匆，急速走
bridge	n.桥；桥牌；鼻梁vt.架桥；渡过
bright	a.明亮的，辉煌的；聪明的；欢快的，美好的
bronze	n.青铜：青铜色，古铜色：青铜制品，铜牌
browse	vi.随意翻阅，浏览；（牛、羊等）吃草
bruise	n.青肿，挫伤：伤痕 vt.打青；挫伤
brutal	a.残忍的；严峻的；严酷的
bubble	n.泡，水泡，气泡 v.冒泡，起泡，沸腾
bucket	n.水桶，吊桶
budget	n.预算 v.做预算
buffet	n.自助餐
bullet	n.子弹，枪弹
bundle	n.捆，包，束
burden	n.担子，重担，负担vt.给予负担或麻烦
bureau	n.署，局，司，处
butter	n.黄油，奶油v.涂黄油于···上
button	n.纽扣，按钮（开关）v.扣紧；扣上纽扣
bypass	n.（by-pass）旁道：vt.绕过
camera	n.照相机，摄影机
campus	n.（大学）校园
cancel	v.取消，把···作废；删去，划掉
cancer	n.癌
candle	n.蜡烛
cannon	n.大炮，火炮
canvas	n.帆布；帆布画布，（帆布）油画
carbon	n.碳
career	n.（个人的）事业：专业，生涯，职业，经历
caress	vt.／n.爱抚，抚摸
carpet	n.地毯
carrot	n.胡萝卜
castle	n.城堡；（国际象棋中的）车
casual	a.偶然的，碰巧的；临时的，非正式的
cattle	n.牛；牲口，家畜
cellar	n.地窑，地下室
cement	n.水泥；胶泥，胶接剂v.胶合；巩固，加强
census	n.人口普查（调查）
centre	n.中心，中央，中间vt.集中vi.以..为中心
cereal	n.加工而成的谷类食物；谷类植物，谷物
chance	n.机会；可能性；偶然性，运气v.碰巧，偶然发生
change	n.改变，变化；零钱v.更换，调换，交换；改变
charge	v.索（价）；控告；充电n.（pl.）费用，代价；电荷
cheese	n.干酪，乳酪
cheque	n.（check）支票，空白支票；总收入
cherry	n.樱桃（树）
choice	n.选择（机会），抉择，选择项；入选者 a.精选的
choose	v.选择，挑选；甘愿
chorus	n.合唱队；合唱v.异口同声地说，随声附和
Christ	n.基督，救世主，耶稣
church	n.教堂：教会，教派：（宗教的）礼拜仪式
cinema	n.电影院；电影，影片
circle	n.圆，圆周；集团；周期，循环v.环绕，旋转
circus	n.马戏团，杂技团；马戏场，杂技场
clause	n.（正式文件或法律文件的）条款；从句，分句
clergy	n.［总称］牧师，神职人员
clever	a.聪明的，伶俐的，机敏的，精巧的
client	n.律师等的当事人，委托人：商店的顾客
climax	n.顶点，高潮
clinic	n.诊所
closet	n.（壁）橱a.私下的vt.把···引进密室会谈
clothe	v.（给···）穿衣，供给···衣服
cloudy	a.多云的，阴（天）的；混浊的，模糊的
clumsy	a.笨拙的，愚笨的
clutch	v.抓住，攫住，掌握n.离合器
coarse	a.粗糙的，粗劣的；粗鲁的，粗俗的
coffee	n.咖啡（色）
collar	n.衣领；环状物
colony	n.殖民地；侨民：聚居区：（动植物的）群体
column	n.圆柱，柱状物；列；（报刊中的）专栏
combat	v.／n.战斗，搏斗，格斗
comedy	n.喜剧；喜剧性事件
commit	v.把···交托给，提交；犯（错误），干（坏事）
common	a.普通的；共同的；一般的；n.公有地
compel	v.强迫，迫使
comply	v.（with）遵照，照做，应允：顺从，服从
confer	v.商讨：授予，颁给（勋衔，学位等）
convey	v.运送，搬运，转运；传达，传播
copper	n.铜；铜币，铜制器
corner	n.角，街角：偏僻处：vt.将···逼入困境：
cosmic	a.宇宙的：无比巨大的，无穷尽的
costly	a.昂贵的，价值高的，豪华的
cotton	n.棉花；棉线，棉纱；棉制品
county	n.（英国）郡，（美国）县
couple	n.（一）对，双；夫妇；v.连接，结合
coupon	n.证明持券人有某种权利的卡片，票证，赠券
course	n.课程，教程；过程，进程；路程，路线；一道菜
cousin	n.堂（或表）兄弟，堂（或表）姐妹
coward	n.懦夫，胆怯者
cradle	n.摇篮；发源地
create	v.创造，创作；引起，造成，建立
credit	v.／n.信用，信任n.信用贷款，赊欠；名誉，名望
crisis	n.（pl.crises）危机，紧要关头
critic	n.批评家，评论家
cruise	v.巡航：以节省燃料的速度前进 n.乘船巡游
custom	n.习惯，风俗，惯例；（pl.）海关，关税
damage	v.／n.损害，毁坏n.（pl.）损害赔偿费
danger	n.危险；威胁；危险事物
dazzle	v.使惊奇，使倾斜；耀（眼）n.耀眼的光
deadly	a.致命的；势不两立的；极度的；必定的
dealer	n.商人
debate	v.／n.争论，辩论
decade	n.十年
deceit	n.欺骗，欺骗行为
decent	a.体面的；正派的，合乎礼仪的；合适的
decide	v.决定，下决心；解决，裁决
deduce	vt.（from）演绎，推断，推论
deduct	vt.扣除；演绎（推理）
defeat	n.击败，战胜，失败v.击败，战胜：使失败
defect	n.过失：缺点；不足
defend	v.防守，保卫；为···辩护，为···答辩
define	v.给···下定义：阐述：阐释：限定，规定
degree	n.程度；度数；学位：等级
delete	vt.删除
demand	n.／v.要求，请求，需要（量）v.查问
denial	n.否认：拒绝：否认某事或某事实的声明
denote	vt.表示，意味着
dental	a.牙齿的：牙科（用）的
depart	vi.离开，起程a.过去的，逝世的
depend	v.（on）取决于，依靠，信赖，相信
depict	v.描绘；描写，描述
deputy	n.代理人，代表a.副的，代理的
derive	v.取得；导出；引申；来自；源自；出自
desert	fn.沙漠,不毛之地 v.抛弃,遗弃;擅离,开小差
design	v.设计：构思：绘制：图案：企图 n.设计，图样
desire	v.／n.愿望，欲望，要求
detach	vt.分开，分离，分遣，派遣（军队）
detail	n.细节，详情v.详述
detain	v.耽搁；扣押，拘留
detect	v.察觉，发觉，侦察，探测
device	n.装置，设备，仪表：方法，设计
devise	vt.设计；发明；图谋；作出（计划）；想出（办法）
devote	v.（to）奉献，致力
dialog	n.（dialogue）对话，对白
differ	v.（from）与···不同：（with）与···意见不同
digest	vt.消化：领会，融会贯通n.文摘，摘要
dilute	vt.稀释，冲淡 a.稀释的，冲淡的
dinner	n.正餐，宴会
direct	a.／ad.径直的（地）v.管理，指导；（at，to）指向
dismay	n.／v.（使）沮丧：（使）惊慌：（使）失望，（使）绝望
divert	vt.使转向，使改道：转移（注意力）：使娱乐
divide	v.分，划分，分开；分配：（by）除
divine	a.神的，神授的，天赐的：极好的，极美的
doctor	n.医生：博士vt.授以博士学位：诊断：修改
dollar	n.（美国，加拿大等国货币单位）美元，加元
domain	n.（活动，思想等）领域。范围：领地
donate	vt.损赠（金钱等）；赠予
donkey	n.驴子：蠢人：顽固的人
dragon	n.龙
drawer	n.抽屉
driver	n.驾驶员
during	prep.在···期间
Easter	n.复活节
edible	a.可食用的
editor	n.编辑，编者
effect	n.结果；效果；影响：印象 vt.招致；实现；达到
effort	n.努力：成就；艰难的尝试
eighty	num.／a.八十 pron.八十（个，只...）
either	ad.也（不）pron.两者之一 a.（两者中）任一的
elapse	vi.（时间）溜走：（光阴）逝去
eleven	num.十一pron.／a.十一（个，只...）
e-mail	n.（electronic mail）电子信函，电子邮件
embark	v.（使）上船（或飞机，汽车等）：着手，从事
embody	vt.具体表达，使具体化：包含，收录
emerge	vt.显现，浮现；暴露：形成：
empire	n.帝国
employ	n.／v.雇用；用，使用
enable	v.使能够，使成为可能；授予权利或方法
ending	n.结尾，结局
endure	v.忍受，持久，持续
energy	n.活力，精力：能，能量
engage	v.（in）从事，着手；约定；使订婚；保证：雇用
engine	n.发动机，引擎；火车头
enough	a.（for）足够的n.足够，充分ad.足够地
enrich	v.使富足；使肥沃；装饰；加料于：浓缩
enroll	v.（enrol）招收；登记；入学；参军；成为会员
ensure	v.确保，保证：使安全
entail	vt.使承担：需要：把（疾病等）遗传给；限定
entire	a.完全的，全部的，完整的
entity	n.实体；存在（物）；组织，机构：本质
escape	n.逃跑，逃脱 v.逃跑；避开，避免
escort	vt.护送（卫）：陪同n.警卫，护送者：仪仗兵
estate	n.房地产；不动产；所有权；地位：生活状况
esteem	n.尊敬，尊重vt.尊重，敬重：把···看作
ethnic	a.种族的：人种学的
evolve	v.（使）发展：（使）进化：（使）进展
exceed	v.超过，胜过；越出
except	prep.除··之外v.除外；反对
excess	a.过量的，额外的n.过量；过剩：超额；无节制
excite	v.刺激，使激动；激发，激励
excuse	v.原谅，宽恕，免除 n.借口，辩解
exempt	a.免除的v.免除 n.免税者；被免除义务者
exotic	a.奇异的；异国情调的；外（国）来的
expand	v.（使）膨胀，（使）扩张；张开，展开
expect	v.预期：期望，指望
expend	v.消费，花费
expert	n.专家，能手a.熟练的，有经验的：专门的
expire	v.期满，（期限）终止；呼气；断气，死亡
export	v.／n.输出，出口 n.出口商品
expose	v.（to）使暴露，受到：使曝光
extend	v.延长，延伸：扩充；给予；提供；估价
extent	n.广度，宽度，长度：程度，限度
fabric	n.织物；织品；结构：构造；建筑物
factor	n.因素，要素
fairly	ad.公正地，正当地；相当，还算
family	n.家，家庭成员：氏族，家庭：族，科
famine	n.饥荒，饥馑
famous	a.著名的
farmer	n.农民，农场主
fasten	v.扎牢，使固定
father	n.父亲；创始人，发明者：（Father）神父
faulty	a.有错误的，有缺点的，不完善的
feeble	a.虚弱的，无力的
fellow	n.人，家伙：伙伴，同事 a.同样的，同事的
female	n.女性；女人；雌兽 a.女性的；雌的：柔弱的
feudal	a.封建的；封地的；领地的
fierce	a.凶猛的，残忍的：狂热的，强烈的
figure	n.体形；轮廓；数字；图形v.描绘；计算：推测
filter	n.滤器，滤纸
finger	n.手指：指状物：指针
finish	n.完成；结束；磨光 v.完成；结束；用完；毁掉
finite	a.有限的：［数］有穷的，限定的
flavor	n.（flavour）情味；风味：滋味 v.给···调味
flight	n.飞翔，飞行：航班；航程；逃跑；楼梯的一段
flower	n.花：精华，精粹，精英：盛时 vi.开花
fluent	a.流利的，流畅的
follow	v.跟随，接着；领会；沿着···前进，遵循：结果
forbid	v.禁止，不许
forest	n.森林
forget	v.忘记，遗忘
formal	a.正式的；形式的
format	n.（出版物的）开本，版式。格式vt.设计：安排
former	a.以前的，在前的pron.前者
fossil	n.化石
foster	vt.养育：收养；怀抱：鼓励 a.收养的n.养育者
freeze	v.使结冰，使凝固
Friday	n.星期五
fridge	n.（refrigerator 的略语）冰箱
friend	n.朋友
fright	n.恐怖
fringe	n.边缘：（窗帘）缘饰；额前垂发 vt.饰···的边
futile	a.无效的，无用的，无希望的
future	n.将来，未来；前途，前景a.将来的，未来的
galaxy	n.星系：（the Galaxy）银河（系）；一群显赫的人
gallon	n.加仑
gallop	v.／n.奔驰，飞奔
gamble	n.／v.投机，冒险；赌博
garage	n.车库，飞机库：修车厂
garden	n.（菜，花）园：公园
garlic	n.蒜，大蒜粉
gather	v.聚集，聚拢；推测，推断
gender	n.（生理上的）性；（名词、代词等的）性
genius	n.天才
gentle	a.和蔼的，文雅的，有礼貌的
gently	ad.文雅地，有礼貌地；轻轻地
giggle	vi.／n.痴笑：咯咯地笑 vt.略略地笑着说
glamor	n.（glamour）魅力：魔法 vt.迷惑
glance	v.（at，over）扫视 n.匆匆看，一瞥，一眼
global	a.球形的；全球的，全世界的：全面的
gloomy	a.阴暗的，阴沉的，令人沮丧的，阴郁的
golden	a.金黄色的；贵重的，极好的
goodby	int.（goodbye）再见
gossip	n.／v.（说）闲话，闲聊
govern	v.统治，管理；决定，支配
gramme	n.（gram）克
grease	n.动物脂，油脂，润滑脂 v.抹油，润滑
greedy	a.贪吃的，贪婪的，渴望的
grieve	v.使悲伤，使伤心
grocer	n.食品商，杂货商
ground	n.地，地面，土地；场地，场所：理由，根据
growth	n.生长，增长，发展
guilty	a.（of）有罪的，内疚的
guitar	n.吉他 vi.弹吉他
hammer	n.铁锤，槌，榔头v.锤击，敲打
hamper	v.妨碍，阻碍，牵制
handle	n.柄，把手，拉手v.处理，对待，操纵；触，抚养
happen	v.（偶然）发生：碰巧，恰好
harbor	n.（harbour）海港；避难所 v.隐匿，窝藏
harden	v.（使）变硬
hardly	ad.几乎不，简直不；仅仅
hatred	n.憎恨，憎恶，怨恨
hazard	n.危险，冒险，危害v.冒险，拼命
health	n.健康，健康状况；卫生
heaven	n.天，天空，天堂：（Heaven）上帝，神
height	n.高，高度；（常pl.）高地，高处
helmet	n.头盔，钢盔
heroic	a.英雄的，英勇的，崇高的
heroin	n.海洛因
highly	ad.高度地，很，非常；赞许地
hijack	v.劫持，劫机，拦路抢劫
hinder	v.（from）阻止，妨碍 a.后面的
holder	n.持有者，占有者：（台，架等）支持物
hollow	a.空的，中空的；空洞的，空虚的v.挖空，凿空
honest	a.诚实的，正直的，老实的
horror	n.恐怖，战栗
huddle	n.／v.拥挤；聚集v.（因寒冷、害怕而）缩成一团
humble	a.谦卑的，恭顺的：地位低下的v.降低，贬低
hunger	n.／v.饥饿：渴望
hungry	a.饥饿的，渴望的
ignite	v.点火，引燃
ignore	v.不理，不顾，忽视
immune	a.免疫的，有免疫力的：有受影响的：豁免的
impact	n.冲击，碰撞；影响 v.影响；挤入，压紧
impair	v.损害，损伤：削弱，减少
impart	vt.传授，给予：告知，通知
import	v.／n.进口，输入，（pl.）进口商品：要旨，含意
impose	v.征（税）：（on）把···强加给
income	n.收入，收益，所得
indeed	ad.确实，实在；真正地，多么
indoor	a.室内的，户内的
induce	v.引诱，劝使：引起，导致：感应
infant	n.婴儿，幼儿
infect	vt.传染，感染：影响（思想等）
inform	v.（of，about）通知，告诉，报告；告发，告密
inhale	v.吸入（气体等），吸（烟）
inject	vt.注射（药液等）：注入
injure	v.损害，损伤，伤害
injury	n.伤害，损害
inland	a.／ad.国内，内地，内陆
insect	n.昆虫
insert	v.插入，嵌入；登载n.插入物
inside	a.里面的ad.在里面n.内部prep.在···里
insist	vi.（on）坚持要求，坚决主张，坚持
insult	vt.／n.侮辱，凌辱
insure	vt.保险，给···保险：保证
intact	a.完整无缺的，未经触动的，未受损伤的
intend	vt.想要，打算，企图
invade	vt.入侵，侵略，侵袭，侵扰
invent	v.发明，创造：捏造，虚构
invert	v.倒置，倒转，颠倒
invest	vt.投资，投入（精力、时间等）
invite	vt.邀请，招待
inward	ad.向内，在内a.向内的，在内的，里面的
island	n.岛，岛屿：（道路上的）交通安全岛
itself	pron.（it的反身代词）它自己，它本身
jacket	n.短上衣，茄克衫
jargon	n.行话
jungle	n.丛林，生死地带
junior	a.／n.年少的／者，三年级的／学生，下级（的）
kettle	n.水壶
kidnap	vt.诱拐：绑架，劫持
kidney	n.肾，肾脏
ladder	n.梯子，阶梯
laptop	n.膝上型电脑
lately	ad.最近，不久前
latent	a.潜在的，潜伏的，不易察觉的
latter	a.后者的：后一半的，接近终了的n.后者
launch	v.发射；使（船）下水，发动，开展n.发射，下水
lawyer	n.律师
layman	n.外行
layoff	n.临时解雇，操作停止，活动停止期间，失业期
layout	n.安排，布局，设计：规划图，布局图
league	n.同盟，联盟：联合会，社团
legacy	n.遗产，遗赠：先人（或过去）留下的东西
legend	n.传说，传奇
length	n.长，长度；一段，一节，程度，范围
lesson	n.（功）课；［pl.］课程；教训
letter	n.信，函件；字母，文字
liable	a.有...倾向的：可能遭受...的：有责任的
likely	a.很可能的，有希望的 ad.大概，多半
linear	a.线的，直线的，线状的：长度的：线性的
linger	v.逗留，徘徊，拖延，留恋，浪费光阴，苟延残喘
liquid	n.液体 a.液体的，液态的
liquor	n.酒；溶液。液剂
listen	vi.倾听（与介词 to 并用，方可置宾语）
litter	n.垃圾，（杂乱的）废物v.使杂乱，乱丢
little	a.小，幼小：不多的ad.／n.不多，几乎没有
lively	a.活泼的，活跃的：栩栩如生的，真实的
living	a.活的，有生命的，天然的，逼真的n.生活，生计
locate	v.查出，探出，查找···地点，使···坐落于，位于
locker	n.更衣箱
lonely	a.孤独的，寂寞的；荒凉的，人迹稀少的
loosen	v.解开，放松
lounge	n.休息室，起居室，客厅
lovely	a.可爱的，好看的：令人愉快的，美好的
lumber	n.木材，木料
luxury	n.奢侈，华贵；奢侈品a.奢华的，豪华的
madame	n.（madam）夫人，太太，女士
magnet	n.磁体，磁铁
maiden	n.少女，处女a.未婚的，纯洁的，无经验的
mammal	n.哺乳动物
manage	v.经营，管理，处理；设法，对付；操纵，运用
manner	n.方式；举止：（pl.）风度，礼貌；规矩；风俗
manual	a.手的，手工做的，体力的n.手册，指南
marble	n.大理石，云石
